department,level,sem,code,type,title,description,mcs,prerequisites,preclusions,corequisites,hrs,remarks
MA,1,1,MA1131,Core,Foundations in Math IA,"This module aims to develop some understanding of the essential concepts of mathematics.  The basic operations of numbers, fundamental concepts of algebra and geometry will be discussed.  Topics include whole numbers, factors and multiples, fractions and decimals, approximation and estimation. This module also covers concepts of algebraic expressions, equations and manipulation, standard form, rules of indices and graphs of linear equations.",3,None,,,3,
MA,1,2,MA1132,Core,Foundations in Math IB,"This module aims to further develop an understanding of the essential concepts of foundational mathematics. Topics included are simultaneous linear equations, direct and inverse proportions, angle properties of triangles, quadrilaterals and polygons. This module also covers perimeter, area, volume and surface area of simple geometrical figures, symmetry, construction and loci. Coordinate geometry will be further developed as well. Students will also learn about various problem-solving heuristics and techniques.",3,MA1131,,,3,
MA,1,1,MA1231,Elective,Math Olympiad Training I,This module provides students with a taste of Olympiad-type mathematics. Students are expected to participate in the Singapore Mathematical Olympiad (Junior).,2,None,,,1.5,
MA,1,2,MA1232,Elective,Math Olympiad Training II,This module targets high ability students who are keen to prepare themselves rigorously for the Singapore Mathematical Olympiad (Junior).,2,"MA1231, Department Approval",,MA1232V,1.5,
MA,1,2,MA1232V,Elective,Math Olympiad Training II,This module targets high ability students who are keen to prepare themselves rigorously for the Singapore Mathematical Olympiad (Junior). The course is taught by an external trainer.,2,"MA1231, Department Approval",,,1.5,
MA,1,1 or 2,MA1331,Enrichment,Fun with Fractals,This enrichment module explores the topic of fractals through a series of hands-on activities and experimentation. Students are expected to work in groups to produce a product demonstrating fractal properties by the end of the module.,2,None,,,1.5,
MA,2,1,MA2131,Core,Foundations in Math IIA,"This module builds upon the previous foundation. Topics covered include quadratic functions and inequalities, graphs of simple polynomials, congruency and similarity. Circle geometry, basic set language and notation will also be introduced. Topics like simple trigonometrical ratios, bearings and 3-dimensional problems are covered too.",4,MA1132,,,4,
MA,2,2,MA2132,Core,Foundations in Math IIB,"This module covers the essential concepts of basic data analysis, permutations and combinations, probability and surds. Circle geometry is further developed. Students will also learn about matrices and 2D vectors.",4,MA2131,,,4,
MA,2,1,MA2231,Elective,Math Olympiad Training III,This module builds upon the previous Junior Olympiad training. It targets high ability students who are keen to prepare themselves rigorously for the Singapore Mathematical Olympiad (Senior).,2,"MA1232, Department Approval",,MA2231V,1.5,
MA,2,1,MA2231V,Elective,Math Olympiad Training III,This module builds upon the previous Junior Olympiad training. It targets high ability students who are keen to prepare themselves rigorously for the Singapore Mathematical Olympiad (Senior). The course is taught by an external trainer.,2,"MA1232V, Department Approval",,,1.5,
MA,2,2,MA2232,Elective,Math Olympiad Training IV,This module targets high ability students who are keen to prepare themselves rigorously for the Singapore Mathematical Olympiad (Senior).,2,"MA2231, Department Approval",,MA2232V,1.5,
MA,2,2,MA2232V,Elective,Math Olympiad Training IV,This module targets high ability students who are keen to prepare themselves rigorously for the Singapore Mathematical Olympiad (Senior). The course is taught by an external trainer.,2,"MA2231V, Department Approval",,,1.5,
MA,3,1,MA3131,Core,Foundations in Math IIIA,"This is an important pre-calculus course that is a prerequisite for many advanced modules. It aims to model and solve problems involving quadratic equations using algebraic approach. Other solutions of equations will also be discussed through the use of remainder and factor theorem and partial fractions. Students will also solve inequalities involving absolute-valued functions.  Exponential, logarithmic and trigonometric functions will also be explored in further details.",4,MA2132,,,4,
MA,3,2,MA3132,Core,Foundations in Math IIIB,"Students will be familiarized with the properties of functions, the algebra of functions and the graphs of functions. These functions include inverse functions, absolute value functions and piecewise functions. Students will be taught graphs of various functions and the solving of inequalities involving rational functions. Further trigonometrical identities and calculus are introduced, as well as Binomial Theorem.",4,MA3131,,,4,
MA,3,1,MA3231,Elective,Math Olympiad Training V,This module builds upon the previous Senior Olympiad training.,2,"MA2232, Department Approval",,MA3231V,1.5,
MA,3,1,MA3231V,Elective,Math Olympiad Training V,This module builds upon the previous Senior Olympiad training. The course is taught by an external trainer.,2,"MA2232V, Department Approval",,,1.5,
MA,3,1,MA3331,Enrichment,Foundation Mathematics (Bridging Module),"This bridging module is compulsory for second intake students. It covers concepts like rules of indices, surds, set theory and geometric properties of circle. Students will perform simple operations with indices and surds, including rationalizing the denominator. The Cartesian coordinates system will be used to analyze geometrical situations and solve related problems. Basic counting techniques, probability and data analysis are taught too.",3,None,,,1.5,Bridging module (For new Yr 3 intake only)
MA,4,1,MA4131,Core (Major),Advanced Math IA,"This module covers topics such as number sequences, summation of series, arithmetic and geometric series. There will also be discussion on the complex numbers system, where numbers can be expressed in Cartesian or polar forms. Students will learn to represent complex numbers in the Argand diagram. Further work will also be done on calculus and various methods of proofs.",5,MA3132,,,5,
MA,4,2,MA4132,Core (Major),Advanced Math IB,"Transformation of graphs and vectors in 3D are introduced in this module. Further topics in calculus that will be covered include analysis of graphs, Maclaurin series (including binomial), integration techniques and applications of integrals to find area and volume.",5,MA4131,,,5,
MA,4,1,MA4231V,Elective,Math Olympiad Training VI,This module targets high ability students who are keen to prepare themselves rigorously for the Singapore Mathematical Olympiad (Senior and Open).,2,"MA3231V, Department Approval",,,1.5,
MA,5,1,MA5131,Core (Major),Advanced Calculus,"This demanding and rigorous course introduces calculus typically covered in a university course. Continuity and differentiability of functions are introduced. Topics include fundamental theorem ofcalculus, Intermediate Value Theorem, Mean Value Theorem, limits of functions, asymptotic and unbounded behavior. First and second order differential equations and their applications to real-life problems will also be taught.",5,MA4132,,,5,
MA,5,2,MA5132,Core (Major),Statistics,"This module is a comprehensive study of various probability distributions and statistical concepts. Topics include Binomial Distribution, Poisson Distribution, Normal Distribution, Sampling Distribution, t-distribution, test of significance, correlation and linear regression. Exploring random phenomena using probability and simulation will also be discussed.",5,MA2132,,,5,
MA,5,1,MA5231V,Elective,Math Olympiad Training VII,This module targets high ability students who are keen to prepare themselves rigorously for the Singapore Mathematical Olympiad (Open).,2,"MA4231V, Department Approval",,,1.5,
MA,5,1,MA5431,Honours,Linear Algebra,"This Honours module introduces students to the operations on matrices and its applications to solving system of linear equations. Topics on vector spaces, linear transformations, rank and nullity, eigenvalues and eigenvectors will also be explored.",2,MA4132,,,2,+ Students majoring with Honours in Mathematics must complete at least 8 MCs of the Honours Modules.
MA,5,2,MA5431V,Honours in lieu,NUS/MA2001 Linear Algebra,"This is an NUS Module in-lieu of NUSHS Linear Algebra Module. This module is a first course in linear algebra.  Fundamental concepts of linear algebra will be introduced and investigated in the context of the Euclidean spaces R^n.  Proofs of results will be presented in the concrete setting.  Students are expected to acquire computational facilities and geometric intuition with regard to vectors and matrices.  Some applications will be presented. Major topics: Systems of linear equations, matrices, determinants, Euclidean spaces, linear combinations and linear span, subspaces, linear independence, bases and dimension, rank of a matrix, inner products, eigenvalues and eigenvectors, diagonalization, linear transformations between Euclidean spaces, applications.",4,"MA5131, Department Approval",Student can only take MA5431 or MA5431V to fulfil math honours program.,,4,"In order to fulfil Math Honours, a student must take: 1.MA5431V (4MC) and MA6431V (4MC), OR  2.MA5431 (2MC) and MA6431V (4MC) and MA6432/MA6433 (2MC), OR  3.MA5431 (2MC), MA5432 (2MC) and MA6431V (8MC)  A total of 8 MC."
MA,5,2,MA5432,Honours,"Polar Coordinates, Parametric Equations and Vector Functions","In this module, students will explore the polar coordinate system. Parametric equations are introduced. Derivatives and integrals of polar, parametric and vector functions will also be taught.",2,MA5131,,,2,+ Students majoring with Honours in Mathematics must complete at least 8 MCs of the Honours Modules.
